package,center_head,top_mid_head,package_exchange_q,budget_percent_discrepancy
RIV,4.554963141585531,5.14434025082794,125.89741073359723,-0.0
DRN,4.42674600840597,4.389353279467051,-45.71686357789804,-0.0
GHB,4.600392154155959,5.328485167641895,223.1745847025702,-0.0
